SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1708 Overlook Dr,Silver Spring,MD,20903,530000,3,3.0,HILLANDALE,2418,17159,1958,3,219,,Active,,,https://www.redfin.com/MD/Silver-Spring/1708-Overlook-Dr-20903/home/10559472,BRIGHT MLS,MDMC2024102,N,Y,39.0261074,-76.97693
MLS Listing,,Single Family Residential,12 Baughman Ct,Silver Spring,MD,20906,925000,6,5.0,GAYFIELDS,5779,37487,1979,4,160,,Active,,,https://www.redfin.com/MD/Silver-Spring/12-Baughman-Ct-20906/home/11071471,BRIGHT MLS,MDMC2025222,N,Y,39.1043252,-77.0434205
MLS Listing,,Townhouse,13115 Brahms Ter,Silver Spring,MD,20904,410000,4,3.5,TANGLEWOOD,1820,1500,1984,4,225,122,Active,,,https://www.redfin.com/MD/Silver-Spring/13115-Brahms-Ter-20904/home/10583976,BRIGHT MLS,MDMC2025394,N,Y,39.072148,-76.9526939
MLS Listing,,Townhouse,142 Finale Ter,Silver Spring,MD,20901,445000,3,3.0,DUMONT OAKS,2016,1900,1984,5,221,73,Active,,,https://www.redfin.com/MD/Silver-Spring/142-Finale-Ter-20901/home/10589971,BRIGHT MLS,MDMC2025234,N,Y,39.04293,-77.005955
MLS Listing,,Single Family Residential,4106 Weller Rd,Silver Spring,MD,20906,549900,6,3.0,STONEYBROOK ESTATES,2411,6714,1960,5,228,,Active,,,https://www.redfin.com/MD/Silver-Spring/4106-Weller-Rd-20906/home/11053604,BRIGHT MLS,MDMC2026042,N,Y,39.0617878,-77.0817861
MLS Listing,,Townhouse,2020 Flowering Tree Ter,Silver Spring,MD,20902,349900,2,1.5,FOREST ESTATES,966,,1984,5,362,97,Active,,,https://www.redfin.com/MD/Silver-Spring/2020-Flowering-Tree-Ter-20902/home/11113302,BRIGHT MLS,MDMC2022812,N,Y,39.02357,-77.04208
MLS Listing,,Single Family Residential,4508 Bennion Rd,Silver Spring,MD,20906,449900,3,1.5,VEIRS MILL VILLAGE,972,6133,1946,11,463,,Active,December-13-2021 08:00 AM,December-13-2021 08:00 PM,https://www.redfin.com/MD/Silver-Spring/4508-Bennion-Rd-20906/home/11003310,BRIGHT MLS,MDMC2023532,N,Y,39.052753,-77.0861925
MLS Listing,,Single Family Residential,7700 Chicago Ave,Silver Spring,MD,20910,599999,5,2.0,BLAIR,1582,5688,1954,31,379,,Active,,,https://www.redfin.com/MD/Silver-Spring/7700-Chicago-Ave-20910/home/10953540,BRIGHT MLS,MDMC2022810,N,Y,38.9857616,-77.0223743
MLS Listing,,Condo/Co-op,3910 Doc Berlin Dr #14,Silver Spring,MD,20906,324900,2,2.0,NORBECK CROSSING,1040,,2016,34,312,390,Active,,,https://www.redfin.com/MD/Silver-Spring/3910-Doc-Berlin-Dr-20906/unit-14/home/104458775,BRIGHT MLS,MDMC2021850,N,Y,39.1133417,-77.07349
MLS Listing,,Townhouse,8900 16th St,Silver Spring,MD,20910,439500,3,2.5,WOODSIDE VILLAGE,1266,,1965,57,347,594,Active,,,https://www.redfin.com/MD/Silver-Spring/8900-16th-St-20910/unit-8900/home/10979720,BRIGHT MLS,MDMC2001141,N,Y,39.0022019,-77.0404833
MLS Listing,,Single Family Residential,415 E Melbourne Ave,Silver Spring,MD,20901,514000,4,2.0,LONG BRANCH VILLAGE,1426,5810,1943,73,360,,Active,,,https://www.redfin.com/MD/Silver-Spring/415-E-Melbourne-Ave-20901/home/11027518,BRIGHT MLS,MDMC2018408,N,Y,39.0094022,-77.0002054
